file,cells,id18,id15,mobile,landline,digits7plus,email,REDACTED_tokens
cohortA_wave_sample1000.csv,78000,0,1503,1283,1945,4658,0,0
cohortB_peryear_sample1000.csv,26000,0,74,281,1230,2159,0,0
cohortC_mortality_sample500.csv,1500,0,0,0,0,0,0,0
cohortC_wave_sample1000.csv,42000,0,0,0,2,132,0,0
