,nonnull_pct
pid,100.0
id,100.0
year,100.0
wave_idx,100.0
n_waves,100.0
qdate,100.0
sex_male,100.0
high_tg,100.0
age,99.5
hdl,99.4
low_hdl,99.4
tc,99.4
ldl,99.4
fpg,99.3
dysglycemia,99.3
ua,99.3
crea,99.3
tg,99.3
dm_screen,99.3
alt,99.3
ast,99.3
plt,99.3
egfr,98.8
hba1c,98.5
fatty,97.8
ggt,61.8
