item_name,n,n_num,num_share,p001,p01,p99,p999,oor_strict,oor_loose,delta_rows,flagged_rate_released_pct,flagged_rate_alt_pct
内分泌系统,4169,4169,1.0,11.6672,26.5,79.33199999999997,84.26640000000006,10,83,73,0.2399,1.9909
泌尿系统,4169,4169,1.0,18.8008,29.5,80.3,85.1,9,82,73,0.2159,1.9669
生殖功能,4169,4169,1.0,18.8008,29.5,80.3,85.1,9,82,73,0.2159,1.9669
碳水代谢功能,4169,4169,1.0,13.452,27.036,78.7,84.83280000000013,10,83,73,0.2399,1.9909
脂肪代谢功能,4169,4169,1.0,18.384,27.868,78.2,84.68320000000003,10,83,73,0.2399,1.9909
鸡蛋 (IgG),4250,4043,0.9512941176470588,1.0189,7.170400000000001,174.44219999999999,199.32580000000002,10,82,72,0.2473,2.0282
免疫功能,4169,4169,1.0,10.9864,25.7,79.7,85.31600000000017,10,81,71,0.2399,1.9429
眼视光系统,4169,4169,1.0,16.8688,28.1,80.83199999999997,86.18320000000003,10,81,71,0.2399,1.9429
运动系统,4169,4169,1.0,20.584,30.2,78.8,86.26640000000006,10,81,71,0.2399,1.9429
三碘甲状腺原氨酸,4250,4247,0.9992941176470588,0.55,0.67,1.74,2.525719999999983,9,79,70,0.2119,1.8601
心血管系统,4169,4169,1.0,10.9336,24.2,78.2,85.1496000000001,10,79,69,0.2399,1.8949
树花粉组合,4221,4216,0.9988154465766406,0.01,0.02,1.0440000000000147,9.379399999999878,5,72,67,0.1186,1.7078
矮豚草,4221,4216,0.9988154465766406,0.01,0.02,0.8785000000000036,11.66184999999994,5,71,66,0.1186,1.6841
白介素-8,3368,3319,0.9854513064133017,1.65954,2.4526,26.469600000000128,59.93771999999737,8,68,60,0.241,2.0488
透明管型,96276,94937,0.9860920686360048,0.0,0.0,1.0,2.0,43,102,59,0.0453,0.1074
肿瘤坏死因子α,3368,3367,0.9997030878859857,2.9215,3.7866,11.5,18.94478000000001,8,67,59,0.2376,1.9899
白介素-12p70,3368,3164,0.9394299287410927,1.52,1.6163,44.41239999999994,74.55838999999995,6,64,58,0.1896,2.0228
总Omega-3,3110,3110,1.0,3.249781,4.03718,10.013299999999996,11.196455,8,64,56,0.2572,2.0579
总Omega-6,3110,3110,1.0,28.808596,31.827270000000002,50.41649999999999,54.770512000000004,8,64,56,0.2572,2.0579
蜡样管型,32163,31689,0.9852625687902248,0.0,0.0,0.0,1.0,0,53,53,0.0,0.1673
抗缪勒管激素,6081,4870,0.8008551225127446,0.01,0.01,8.003100000000003,11.718470000000115,5,49,44,0.1027,1.0062
西瓜(IgG),4250,4245,0.9988235294117647,0.0,0.01,26.67120000000001,41.592320000000385,5,49,44,0.1178,1.1543
空腹葡萄糖,2441,2430,0.9954936501433839,2.92574,3.7887,12.171000000000003,17.876139999999793,6,50,44,0.2469,2.0576
胰岛素样生长因子-1(IGF-1),2379,2358,0.9911727616645649,21.6571,27.845200000000002,202.76179999999997,276.4304000000001,6,48,42,0.2545,2.0356
三文鱼(IgG),4250,4245,0.9988235294117647,0.01,0.01,36.76800000000002,47.55268000000001,5,43,38,0.1178,1.013
哈密瓜(IgG),4250,4245,0.9988235294117647,0.01,0.01,26.41480000000003,42.240400000000285,6,44,38,0.1413,1.0365
大米（IgG）,4250,4245,0.9988235294117647,0.01,0.01,31.293600000000026,45.31840000000044,7,45,38,0.1649,1.0601
小麦 (IgG),4250,4245,0.9988235294117647,0.01,0.01,37.79680000000011,67.82120000000006,5,43,38,0.1178,1.013
柚子(IgG),4250,4245,0.9988235294117647,0.01,0.01,36.33280000000005,49.54332000000031,6,44,38,0.1413,1.0365
桃(IgG),4250,4245,0.9988235294117647,0.01,0.01,25.97120000000001,41.20460000000089,6,44,38,0.1413,1.0365
橘子(IgG),4250,4245,0.9988235294117647,0.01,0.01,28.83120000000001,43.455720000000426,6,44,38,0.1413,1.0365
火鸡(IgG),4250,4245,0.9988235294117647,0.01,0.01,24.428400000000057,39.418120000000556,8,46,38,0.1885,1.0836
猪肉 (IgG),4250,4245,0.9988235294117647,0.01,0.01,30.647600000000285,41.9738400000002,7,45,38,0.1649,1.0601
羊肉（IgG）,4250,4245,0.9988235294117647,0.01,0.01,31.64600000000004,41.923720000000586,5,43,38,0.1178,1.013
芝麻(IgG),4250,4245,0.9988235294117647,0.01,0.01,35.92360000000003,49.1362800000002,5,43,38,0.1178,1.013
苹果(IgG),4250,4245,0.9988235294117647,0.01,0.01,24.15600000000004,39.527040000000106,8,46,38,0.1885,1.0836
草莓(IgG),4250,4245,0.9988235294117647,0.01,0.01,25.088400000000057,37.1652400000004,7,45,38,0.1649,1.0601
草鱼(IgG),4250,4245,0.9988235294117647,0.01,0.01,30.54400000000006,45.26940000000036,7,45,38,0.1649,1.0601
菠菜(IgG),4250,4245,0.9988235294117647,0.01,0.01,27.38120000000001,38.723720000001364,7,45,38,0.1649,1.0601
葡萄(IgG),4250,4245,0.9988235294117647,0.01,0.01,26.866800000000012,41.15476000000038,7,45,38,0.1649,1.0601
蓝莓(IgG),4250,4245,0.9988235294117647,0.01,0.01,27.165600000000005,37.60532000000015,6,44,38,0.1413,1.0365
蘑菇 (IgG),4250,4245,0.9988235294117647,0.0024399999999999977,0.01,27.93120000000001,46.723120000000165,10,48,38,0.2356,1.1307
西红柿 (IgG),4250,4245,0.9988235294117647,0.01,0.01,24.54120000000001,39.49736000000065,8,46,38,0.1885,1.0836
青豆(IgG),4250,4245,0.9988235294117647,0.01,0.01,56.822400000000016,106.33852000000005,5,43,38,0.1178,1.013
香蕉(IgG),4250,4245,0.9988235294117647,0.01,0.01,30.869200000000028,47.459080000000604,7,45,38,0.1649,1.0601
鸡肉 (IgG),4250,4245,0.9988235294117647,0.01,0.01,28.693200000000186,42.753840000000196,9,47,38,0.212,1.1072
带鱼(IgG),4250,4244,0.9985882352941177,0.01,0.01,39.173899999999925,109.54258999999887,6,44,38,0.1414,1.0368
虾 (IgG),4250,4244,0.9985882352941177,0.01,0.01,31.585199999999894,45.44298999999997,5,43,38,0.1178,1.0132
龙虾（IgG）,4250,4244,0.9985882352941177,0.01,0.01,38.06839999999996,61.86856999999489,5,43,38,0.1178,1.0132
扇贝(IgG),4250,4243,0.9983529411764706,0.01,0.01,41.55919999999995,61.84493999999888,5,43,38,0.1178,1.0134
螃蟹 (IgG),4250,4243,0.9983529411764706,0.01,0.01,46.46959999999999,112.28237999999799,5,43,38,0.1178,1.0134
大豆 (IgG),4250,4241,0.9978823529411764,0.01,0.01,56.39000000000033,160.09240000000037,5,43,38,0.1179,1.0139
蛤(IgG),4250,4238,0.9971764705882353,0.01,0.01,47.20490000000002,151.35789999999972,5,43,38,0.118,1.0146
鳕鱼 (IgG),4250,4238,0.9971764705882353,0.01,0.01,43.83530000000004,152.43607999999935,5,43,38,0.118,1.0146
腰果（IgG）,4250,4222,0.9934117647058823,0.01,0.01,81.5795,178.63396999999935,9,47,38,0.2132,1.1132
花生（IgG）,4250,4222,0.9934117647058823,0.01,0.01,82.71019999999999,163.09086999999428,5,43,38,0.1184,1.0185
牛奶,4221,4216,0.9988154465766406,0.01,0.01,1.1820000000000437,18.642549999998916,5,43,38,0.1186,1.0199
羊肉,4221,4216,0.9988154465766406,0.01,0.01,0.16850000000000365,0.2978499999999985,5,43,38,0.1186,1.0199
虾,4221,4216,0.9988154465766406,0.01,0.01,0.43700000000000727,8.228049999999747,5,43,38,0.1186,1.0199
蟑螂,4221,4216,0.9988154465766406,0.01,0.01,0.7785000000000036,6.965699999999706,5,43,38,0.1186,1.0199
贝,4221,4216,0.9988154465766406,0.01,0.01,0.20850000000000363,0.3870999999999913,5,43,38,0.1186,1.0199
鸡蛋白,4221,4216,0.9988154465766406,0.01,0.01,0.23850000000000363,0.5720499999999811,5,43,38,0.1186,1.0199
黄豆,4221,4216,0.9988154465766406,0.01,0.01,0.19850000000000365,0.7246499999999287,6,44,38,0.1423,1.0436
艾蒿,4221,4215,0.9985785358919688,0.01,0.01,2.0229999999999833,26.35294000000016,5,43,38,0.1186,1.0202
霉菌组合,4221,4215,0.9985785358919688,0.01,0.01,2.8585999999999965,64.94890000000021,5,43,38,0.1186,1.0202
猫毛皮屑,4221,4214,0.9983416252072969,0.01,0.01,1.057399999999998,71.94723000000715,7,45,38,0.1661,1.0679
屋尘螨/粉尘螨,4221,4213,0.998104714522625,0.01,0.01,17.53120000000008,61.545799999998735,5,43,38,0.1187,1.0207
混合草,4221,4213,0.998104714522625,0.01,0.01,7.9776000000000025,48.592719999996696,5,43,38,0.1187,1.0207
狗毛皮屑,4221,4209,0.9971570717839374,0.01,0.01,0.47840000000000144,27.75488000000033,5,43,38,0.1188,1.0216
榴莲(IgG),4250,4245,0.9988235294117647,0.01,0.01,30.64,41.88764000000052,6,43,37,0.1413,1.013
沙丁鱼(IgG),4250,4245,0.9988235294117647,0.01,0.01,30.42,48.98648000000034,5,42,37,0.1178,0.9894
牛肉 (IgG),4250,4245,0.9988235294117647,0.01,0.01,35.35,46.7943600000001,5,42,37,0.1178,0.9894
菠萝（IgG）,4250,4245,0.9988235294117647,0.01,0.01,31.45,43.638480000000186,8,45,37,0.1885,1.0601
菠萝,4221,4216,0.9988154465766406,0.01,0.01,0.14,0.33354999999999563,5,42,37,0.1186,0.9962
龙虾/扇贝,4221,4216,0.9988154465766406,0.01,0.01,0.22,1.4249499999999897,5,42,37,0.1186,0.9962
牛奶 (IgG),4250,4184,0.9844705882352941,0.01,0.01,142.11870000000002,208.01994000000008,6,43,37,0.1434,1.0277
屋尘,4221,4216,0.9988154465766406,0.01,0.01,0.27,1.8638999999999215,5,41,36,0.1186,0.9725
桑树,4221,4216,0.9988154465766406,0.01,0.01,0.21,1.5791499999999723,6,42,36,0.1423,0.9962
花生,4221,4216,0.9988154465766406,0.01,0.01,0.24,1.5619499999999609,5,41,36,0.1186,0.9725
葎草,4221,4216,0.9988154465766406,0.01,0.01,0.21,2.9032499999999346,5,41,36,0.1186,0.9725
蟹,4221,4216,0.9988154465766406,0.01,0.01,0.27,4.008649999999871,5,41,36,0.1186,0.9725
糖类抗原72-4,1890,1852,0.9798941798941799,0.51,0.5651,66.52300000000002,240.29799999999977,2,38,36,0.108,2.0518
腰果,4221,4216,0.9988154465766406,0.01,0.01,0.2,0.5549499999999897,5,40,35,0.1186,0.9488
鲑鱼,4221,4216,0.9988154465766406,0.01,0.01,0.19,0.28,4,39,35,0.0949,0.925
鳕鱼,4221,4215,0.9985785358919688,0.01,0.01,0.19,0.29786000000000057,6,40,34,0.1423,0.949
PGⅠ/PGⅡ比率,1892,1886,0.9968287526427061,0.7,2.8,22.415000000000006,38.54600000000001,3,37,34,0.1591,1.9618
铁,1890,1885,0.9973544973544973,2.9768,4.368,38.61600000000001,48.57399999999998,4,38,34,0.2122,2.0159
牛肉,4221,4216,0.9988154465766406,0.01,0.01,0.21,1.5963499999999842,5,38,33,0.1186,0.9013
芒果,4221,4216,0.9988154465766406,0.01,0.01,0.22,1.3498999999999794,5,38,33,0.1186,0.9013
苋,4221,4216,0.9988154465766406,0.01,0.01,0.22,5.872649999999813,6,39,33,0.1423,0.925
催乳素,1893,1888,0.9973586899101955,3.88627,5.09,53.33989999999997,133.10305000000113,4,37,33,0.2119,1.9597
甲状腺球蛋白抗体,1890,1878,0.9936507936507937,14.8877,15.7,870.6800000000003,2079.6430000000114,4,37,33,0.213,1.9702
S100蛋白,1847,1847,1.0,0.005,0.009,0.112,0.19208599999999978,2,34,32,0.1083,1.8408
糖类抗原19-9,1890,1723,0.9116402116402117,1.16332,2.951,47.91459999999993,115.55824000000075,4,36,32,0.2322,2.0894
糖类抗原125,1663,1654,0.994588093806374,1.94259,3.9823999999999997,49.074000000000005,102.45530999999886,4,34,30,0.2418,2.0556
糖类抗原15-3,1663,1654,0.994588093806374,2.1759,3.9565,31.994699999999998,44.92055999999995,4,34,30,0.2418,2.0556
人磷酸化Tau-181蛋白,1626,1607,0.9883148831488315,0.717634,1.20818,19.5782,38.31949400000008,4,34,30,0.2489,2.1157
人β淀粉样蛋白1-42,1626,1607,0.9883148831488315,25.686168000000002,44.0,268.8660200000002,358.49427400000013,4,33,29,0.2489,2.0535
ROMA指数(绝经前),1511,1511,1.0,2.0153,2.724,37.52700000000003,66.85680000000004,4,32,28,0.2647,2.1178
ROMA指数(绝经后),1511,1511,1.0,3.0202,4.011,28.985000000000014,48.39730000000005,4,32,28,0.2647,2.1178
胃泌素17,1892,1679,0.8874207188160677,1.0,1.1,39.876000000000026,49.5,1,27,26,0.0596,1.6081
pTau-181/Aβ1-42,1626,1607,0.9883148831488315,0.005,0.009,0.18094000000000005,0.4656720000000005,2,27,25,0.1245,1.6801
糖类抗原50,1352,1348,0.9970414201183432,0.08347,0.1647,17.563299999999984,31.82759000000012,4,28,24,0.2967,2.0772
全段甲状旁腺激素,1347,1347,1.0,9.77044,14.9598,85.43819999999995,104.48709999999998,4,28,24,0.297,2.0787
总Omgea-3,1142,1142,1.0,2.998753,3.58766,9.37713,10.916137999999972,4,24,20,0.3503,2.1016
总Omgea-6,1142,1142,1.0,19.642768,23.1939,47.04452,61.197907999999586,4,24,20,0.3503,2.1016
棘形红细胞,32163,31689,0.9852625687902248,0.0,0.0,0.0,4.0,23,42,19,0.0726,0.1325
葡萄糖(2小时),972,971,0.9989711934156379,3.3679,4.787,24.873,27.95599999999983,2,20,18,0.206,2.0597
葡萄糖(1小时),965,964,0.9989637305699481,5.18668,6.6289,23.5237,27.298050000000092,2,20,18,0.2075,2.0747
餐后1小时胰岛素,904,903,0.9988938053097345,4.582140000000001,12.726600000000001,390.8336000000002,495.1971199999968,2,20,18,0.2215,2.2148
餐后2小时胰岛素,903,902,0.9988925802879292,2.78329,10.4376,444.2079000000001,642.7462200000001,2,20,18,0.2217,2.2173
葡萄糖(3小时),895,894,0.9988826815642458,2.36572,3.1423,20.7014,23.685329999999848,2,18,16,0.2237,2.0134
餐后2小时C肽,882,882,1.0,1.61294,2.7462,27.992799999999992,33.33043000000016,2,18,16,0.2268,2.0408
空腹胰岛素,882,881,0.9988662131519275,1.9096000000000002,3.126,47.47400000000001,115.71720000000008,2,18,16,0.227,2.0431
餐后1小时C肽,878,878,1.0,1.4305800000000002,2.3177,24.417600000000004,28.924920000000004,2,18,16,0.2278,2.0501
空腹C肽,861,861,1.0,0.4326,0.996,7.267999999999993,12.790399999999925,2,18,16,0.2323,2.0906
餐后3小时胰岛素,849,848,0.9988221436984688,3.39919,5.2287,296.06269999999995,397.6255700000002,2,18,16,0.2358,2.1226
餐后3小时C肽,830,830,1.0,1.2986300000000002,2.3832,23.48590000000001,32.201960000000625,2,18,16,0.241,2.1687
糖类抗原242,1352,1348,0.9970414201183432,0.07,0.07,20.455299999999973,53.777660000000765,2,14,12,0.1484,1.0386
胰岛素样生长因子-1,544,542,0.9963235294117647,21.51905,30.5829,159.0090000000001,189.0876099999997,2,12,10,0.369,2.214
脂联素,492,491,0.9979674796747967,0.5282,0.996,13.970000000000013,20.653299999999966,2,10,8,0.4073,2.0367
C16:0,337,337,1.0,2.0,5.881079999999999,63.64191999999997,69.10384799999996,1,8,7,0.2967,2.3739
C17:0,337,337,1.0,0.143,0.14436,2.276079999999999,3.3971919999999853,1,8,7,0.2967,2.3739
C22:4n6,337,337,1.0,1.046,1.2145599999999999,65.74191999999991,70.17139199999997,1,8,7,0.2967,2.3739
总β人绒毛膜促性腺激素,686,684,0.9970845481049563,0.1,0.1,6.218999999999971,4431.479400000101,1,7,6,0.1462,1.0234
MUFA,393,393,1.0,4.290792,6.8223199999999995,26.501559999999994,30.597528000000022,2,8,6,0.5089,2.0356
PUFA,393,393,1.0,23.546632,26.067239999999998,55.526839999999986,58.73628800000001,2,8,6,0.5089,2.0356
SFA,393,393,1.0,24.328224000000002,28.70244,59.257239999999996,64.84121600000002,2,8,6,0.5089,2.0356
葡萄糖(0.5小时),345,344,0.9971014492753624,6.14889,6.8186,20.688299999999984,25.075499999999973,2,8,6,0.5814,2.3256
AA/EPA,337,337,1.0,3.445176,4.33664,109.80751999999998,150.04790399999976,2,8,6,0.5935,2.3739
C14:0,337,337,1.0,0.108336,0.1238,2.8392399999999975,3.8772239999999867,2,8,6,0.5935,2.3739
C15:0,337,337,1.0,0.11533600000000001,0.12644,1.3683199999999998,1.402984,2,8,6,0.5935,2.3739
C18:0,337,337,1.0,5.003504,12.506,68.86868,80.36318399999996,2,8,6,0.5935,2.3739
C18:1n9,337,337,1.0,1.8411760000000001,6.48088,50.64095999999998,59.79761599999996,2,8,6,0.5935,2.3739
C18:2n6,337,337,1.0,1.8704080000000003,7.199879999999999,50.27083999999999,52.05015199999999,2,8,6,0.5935,2.3739
C18:3n3,337,337,1.0,0.064688,0.07536,7.148399999999996,7.803287999999994,2,8,6,0.5935,2.3739
C18:3n6,337,337,1.0,0.04804,0.10152,5.0868799999999945,9.46081599999997,2,8,6,0.5935,2.3739
C20:0,337,337,1.0,0.130576,0.2094,5.253159999999996,6.296063999999997,2,8,6,0.5935,2.3739
C20:1n9,337,337,1.0,0.098408,0.12916,5.435759999999999,5.753319999999998,2,8,6,0.5935,2.3739
C20:2n6,337,337,1.0,0.138352,0.2458,10.365279999999998,30.9092879999998,2,8,6,0.5935,2.3739
C20:3n6,337,337,1.0,0.21757600000000002,0.43388,24.243799999999993,27.495679999999965,2,8,6,0.5935,2.3739
C20:4n6,337,337,1.0,6.9523600000000005,10.21344,71.74575999999999,75.38125599999995,2,8,6,0.5935,2.3739
C20:5n3,337,337,1.0,0.34472,0.39296,7.879959999999999,8.439887999999991,2,8,6,0.5935,2.3739
C22:0,337,337,1.0,0.39434400000000003,0.4334,20.205119999999994,20.817863999999997,2,8,6,0.5935,2.3739
C22:5n3,337,337,1.0,0.935376,1.1666,7.658279999999998,8.688511999999996,2,8,6,0.5935,2.3739
C22:6n3,337,337,1.0,1.581992,2.0624,18.258639999999996,21.41997599999998,2,8,6,0.5935,2.3739
C24:0,337,337,1.0,0.330728,0.72044,30.245759999999986,41.456807999999796,2,8,6,0.5935,2.3739
C24:1n9,337,337,1.0,0.167336,0.5846,31.82936,33.309783999999986,2,8,6,0.5935,2.3739
DHA,337,337,1.0,0.955976,1.0618,12.523799999999996,14.795471999999997,2,8,6,0.5935,2.3739
N-3 Index,337,337,1.0,1.303248,1.58032,7.890359999999999,8.459328000000001,2,8,6,0.5935,2.3739
n-3 PUFA,337,337,1.0,2.398456,2.8656800000000002,10.853919999999995,12.095055999999996,2,8,6,0.5935,2.3739
n-6 PUFA,337,337,1.0,21.100936,22.666880000000003,47.38008,50.286768,2,8,6,0.5935,2.3739
n-6/n-3,337,337,1.0,2.479784,2.9688800000000004,11.367879999999994,14.273727999999979,2,8,6,0.5935,2.3739
C14:1n5,337,337,1.0,0.001336,0.003,0.34891999999999995,0.369664,2,7,5,0.5935,2.0772
C16:1n7,337,337,1.0,0.035336,0.05368,1.42,1.562471999999999,2,7,5,0.5935,2.0772
C22:1n9,337,337,1.0,0.123672,0.126,3.5566799999999983,10.310559999999949,2,7,5,0.5935,2.0772
C12:0,337,337,1.0,0.047672,0.05,2.88684,2.973991999999998,2,6,4,0.5935,1.7804
α-羟丁酸脱氢酶,205,205,1.0,88.9204,96.304,777.4400000000027,1163.6359999999977,2,6,4,0.9756,2.9268
红细胞沉降率,383,383,1.0,1.0,1.0,71.08000000000004,102.3599999999999,1,4,3,0.2611,1.0444
24小时尿蛋白定量,167,167,1.0,0.012830000000000001,0.01898,4.303200000000004,5.04174,2,4,2,1.1976,2.3952
有核红细胞百分数,97057,96927,0.9986605808957623,0.0,0.0,0.0,0.0,40,40,0,0.0413,0.0413
有核红细胞绝对值,97057,96927,0.9986605808957623,0.0,0.0,0.0,0.0,37,37,0,0.0382,0.0382
假菌丝酵母,96276,94937,0.9860920686360048,0.0,0.0,0.0,0.0,71,71,0,0.0748,0.0748
尿微量白蛋白,96276,94934,0.9860609082221945,10.0,10.0,150.0,150.0,4,4,0,0.0042,0.0042
维生素C,96279,91382,0.949137402756572,0.0,0.0,2.8,2.8,13,13,0,0.0142,0.0142
酸碱度,49716,42626,0.8573899750583314,4.0,4.0,5.1,5.1,13,13,0,0.0305,0.0305
宽大管型,32163,31689,0.9852625687902248,0.0,0.0,0.0,0.0,1,1,0,0.0032,0.0032
磷酸铵镁结晶,32163,31689,0.9852625687902248,0.0,0.0,0.0,0.0,28,28,0,0.0884,0.0884
肾小管上皮细胞,32163,31689,0.9852625687902248,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
颗粒管型,32163,31689,0.9852625687902248,0.0,0.0,1.0,1.0,4,4,0,0.0126,0.0126
尿钙,32163,31685,0.9851382022821255,1.0,1.0,7.5,7.5,1,1,0,0.0032,0.0032
ASTN1,700,699,0.9985714285714286,0.0,0.0,1.0,1.0,0,0,0,0.0,0.0
DLX1,700,699,0.9985714285714286,0.0,0.0,1.0,1.0,0,0,0,0.0,0.0
ITGA4,700,699,0.9985714285714286,0.0,0.0,1.0,1.0,0,0,0,0.0,0.0
RXFP3,700,699,0.9985714285714286,0.0,0.0,1.0,1.0,0,0,0,0.0,0.0
SOX17,700,699,0.9985714285714286,0.0,0.0,1.0,1.0,0,0,0,0.0,0.0
ZNF671,700,699,0.9985714285714286,0.0,0.0,3.0,3.0,0,0,0,0.0,0.0
总评分,700,699,0.9985714285714286,0.0,0.0,8.0,8.0,0,0,0,0.0,0.0
刺激水平-本底水平(T-N),98,98,1.0,0.0,0.0,3598.6890000000017,4730.358900000008,1,1,0,1.0204,1.0204
阳性水平-本底水平(P-N),98,98,1.0,608.1171,4714.9710000000005,4999.0,4999.0,1,1,0,1.0204,1.0204
刺激水平(T),98,97,0.9897959183673469,1.2,1.2,2823.799999999994,3489.079999999997,1,1,0,1.0309,1.0309
本底水平(N),98,92,0.9387755102040817,1.0,1.0,76.01400000000025,137.11140000000046,1,1,0,1.087,1.087
二十二碳六烯酸,59,59,1.0,1.908686,1.99586,144.69882000000007,164.232582,2,2,0,3.3898,3.3898
二十碳五烯酸,59,59,1.0,0.30845,0.3215,21.066140000000004,22.145114,2,2,0,3.3898,3.3898
α-亚麻酸,56,56,1.0,0.17438499999999998,0.17784999999999998,0.4612000000000001,0.47902,2,2,0,3.5714,3.5714
γ-亚麻酸,56,56,1.0,0.156165,0.15765,0.34525,0.347725,2,2,0,3.5714,3.5714
二十二碳五烯酸,56,56,1.0,0.9518399999999999,0.9954,3.6722000000000015,3.90782,2,2,0,3.5714,3.5714
二十碳三烯酸,56,56,1.0,0.24187,0.2587,2.0629500000000003,2.137695,2,2,0,3.5714,3.5714
二十碳二烯酸,56,56,1.0,0.19633,0.1993,5.4144000000000245,9.776340000000001,2,2,0,3.5714,3.5714
亚油酸,56,56,1.0,5.008509999999999,5.0491,18.423250000000003,18.732625,2,2,0,3.5714,3.5714
十七烷酸,56,56,1.0,0.14711,0.14809999999999998,0.5406500000000002,0.558965,2,2,0,3.5714,3.5714
十五烷酸,56,56,1.0,0.106375,0.11875,0.2696500000000001,0.28796499999999997,2,2,0,3.5714,3.5714
山嵛酸,56,56,1.0,0.28676999999999997,0.29369999999999996,1.1796500000000008,1.2969650000000001,2,2,0,3.5714,3.5714
月桂酸,56,56,1.0,0.049055,0.049550000000000004,1.92465,1.933065,2,2,0,3.5714,3.5714
木蜡酸,56,56,1.0,0.46115500000000004,0.47155,1.68395,1.689395,2,2,0,3.5714,3.5714
棕榈油酸,56,56,1.0,0.17103500000000002,0.18935,0.8672500000000004,0.9291250000000001,2,2,0,3.5714,3.5714
棕榈酸,56,56,1.0,6.39691,10.635100000000001,58.336700000000036,64.60637,2,2,0,3.5714,3.5714
油酸,56,56,1.0,7.333245,7.46145,24.544900000000005,25.12999,2,2,0,3.5714,3.5714
硬脂酸,56,56,1.0,9.624945,10.61445,35.49440000000002,39.549440000000004,2,2,0,3.5714,3.5714
神经酸,56,56,1.0,0.40842999999999996,0.4213,1.9072500000000012,2.0978250000000003,2,2,0,3.5714,3.5714
肉豆蔻油酸,56,56,1.0,0.100055,0.10055,0.13770000000000002,0.14067,2,2,0,3.5714,3.5714
肉豆蔻酸,56,56,1.0,0.112345,0.15145,3.3113000000000024,3.72413,2,2,0,3.5714,3.5714
肾上腺酸,56,56,1.0,0.583455,0.62355,3.647400000000002,3.9701400000000007,2,2,0,3.5714,3.5714
芥酸,56,56,1.0,0.12811,0.1291,0.2810000000000001,0.2909,2,2,0,3.5714,3.5714
花生四烯酸,56,56,1.0,7.366435,7.523350000000001,27.792650000000005,28.395065,2,2,0,3.5714,3.5714
花生酸,56,56,1.0,0.19570500000000002,0.21105000000000002,1.1107,1.13347,2,2,0,3.5714,3.5714
鳕油酸,56,56,1.0,0.14044,0.1444,0.82175,0.829175,2,2,0,3.5714,3.5714
尿淀粉酶,37,37,1.0,25.296,36.96,1494.6000000000004,1637.1599999999994,2,2,0,5.4054,5.4054
葡萄糖(随机),34,33,0.9705882352941176,4.2838400000000005,4.3184000000000005,19.352,20.331200000000003,2,2,0,6.0606,6.0606
左氧氟沙星,28,28,1.0,0.12,0.12,8.0,8.0,0,0,0,0.0,0.0
亚胺培南,27,27,1.0,0.006500000000000001,0.065,16.0,16.0,1,1,0,3.7037,3.7037
头孢他啶,27,27,1.0,0.12,0.12,64.0,64.0,0,0,0,0.0,0.0
头孢吡肟,27,27,1.0,0.12,0.12,32.0,32.0,0,0,0,0.0,0.0
阿米卡星,25,25,1.0,2.0,2.0,28.159999999999968,31.615999999999985,1,1,0,4.0,4.0
哌拉西林/他唑巴坦,23,23,1.0,4.0,4.0,128.0,128.0,0,0,0,0.0,0.0
甲氧苄啶/磺胺甲恶唑（复方新诺明）,20,20,1.0,20.0,20.0,320.0,320.0,0,0,0,0.0,0.0
头孢哌酮/舒巴坦,16,16,1.0,8.0,8.0,28.39999999999999,31.639999999999986,1,1,0,6.25,6.25
头孢曲松,16,16,1.0,0.25,0.25,64.0,64.0,0,0,0,0.0,0.0
厄他培南,15,15,1.0,0.00168,0.016800000000000002,0.23179999999999992,0.2481800000000001,2,2,0,13.3333,13.3333
头孢呋辛(注射),15,15,1.0,1.014,1.1400000000000001,64.0,64.0,1,1,0,6.6667,6.6667
头孢西丁,15,15,1.0,4.0,4.0,56.15999999999997,63.21600000000004,1,1,0,6.6667,6.6667
阿莫西林/克拉维酸,15,15,1.0,2.0,2.0,29.75999999999999,31.77600000000001,1,1,0,6.6667,6.6667
抗磷脂酶A2受体抗体IgG,14,14,1.0,0.71,0.71,1.6443999999999999,1.65844,1,1,0,7.1429,7.1429
中性粒细胞明胶酶相关脂质运载蛋白,14,13,0.9285714285714286,1.2576,1.7759999999999998,187.172,187.9172,2,2,0,15.3846,15.3846
二氧化碳分压,13,13,1.0,20.168400000000002,20.784000000000002,43.891999999999996,43.9892,2,2,0,15.3846,15.3846
实际碳酸氢盐,13,13,1.0,10.8984,11.784,28.988,28.9988,2,2,0,15.3846,15.3846
尿N-乙酰-β-D-氨基葡萄糖苷酶,13,13,1.0,3.3072,3.372,21.763999999999992,22.606399999999994,2,2,0,15.3846,15.3846
标准碱剩余,13,13,1.0,-16.7608,-15.508,4.039999999999999,4.093999999999999,2,2,0,15.3846,15.3846
标准碳酸氢盐,13,13,1.0,12.8864,13.664000000000001,30.176,30.197599999999998,2,2,0,15.3846,15.3846
氧分压,13,13,1.0,63.2768,63.968,112.44,112.494,2,2,0,15.3846,15.3846
氯离子,13,13,1.0,103.012,103.12,112.75999999999999,112.976,2,2,0,15.3846,15.3846
血氧饱和度,13,13,1.0,92.41560000000001,92.55600000000001,99.15599999999999,99.2856,2,2,0,15.3846,15.3846
钙离子,13,13,1.0,0.97036,0.9736,1.2715999999999998,1.27916,2,2,0,15.3846,15.3846
