item_name,n,n_num,num_share,p001,p01,p99,p999,oor_strict,oor_loose,delta_rows,flagged_rate_released_pct,flagged_rate_alt_pct
同型半胱氨酸,90484,90367,0.998706953715574,3.0,5.0,25.9,53.69020000000164,150,1416,1266,0.166,1.5669
Ⅲ型前胶原N端肽,70948,70760,0.9973501719569262,0.8287589999999999,1.51,10.604100000000034,15.76963999999978,142,1402,1260,0.2007,1.9813
β-胶原特殊序列,72756,72524,0.9968112595524767,0.028522999999999996,0.061,1.29,1.9147699999999894,146,1393,1247,0.2013,1.9207
腺苷脱氨酶,92500,92395,0.9988648648648648,4.0,5.0,19.2,27.121199999999952,180,1425,1245,0.1948,1.5423
抗链球菌溶血素O,72129,72039,0.9987522355779229,1.0,6.0,323.61999999999534,633.8099999999977,75,1317,1242,0.1041,1.8282
天门冬氨酸氨基转氨酶,96408,96286,0.9987345448510497,10.0,12.0,63.0,165.0,130,1367,1237,0.135,1.4197
钾,91632,91520,0.998777719573948,3.0,3.4,4.8,5.2,153,1389,1236,0.1672,1.5177
免疫球蛋白E,73275,73189,0.9988263391334016,1.0,2.0,895.1199999999953,2227.5480000001553,74,1304,1230,0.1011,1.7817
无机磷,73760,73674,0.9988340563991324,0.7,0.81,1.57,1.83,140,1367,1227,0.19,1.8555
类风湿因子,72290,72201,0.9987688476967769,1.0,3.0,103.0,477.1600000000006,73,1291,1218,0.1011,1.7881
糖类抗原CA15-3,67386,67296,0.9986644110052533,2.96,4.1,32.27,45.53395000000033,135,1333,1198,0.2006,1.9808
糖类抗原CA125,67391,65714,0.9751153714887745,0.67,1.8,40.67870000000003,135.79121999999305,131,1307,1176,0.1993,1.9889
氯,91618,91506,0.9987775327992315,95.0,99.0,109.0,111.0,96,1265,1169,0.1049,1.3824
C 肽,64936,64816,0.9981520266108168,0.53815,1.02,6.4284999999999854,10.34109999999986,130,1282,1152,0.2006,1.9779
鳞状上皮细胞癌抗原,89755,89500,0.9971589326499917,0.04,0.1,3.28,7.215010000000039,129,1247,1118,0.1441,1.3933
D-二聚体,73525,73429,0.9986943216592996,0.06,0.1,1.23,2.87,132,1218,1086,0.1798,1.6587
γ-谷氨酰基转移酶,57777,57774,0.999948076224103,7.0,9.0,172.0,454.13499999999476,102,1109,1007,0.1766,1.9195
纤维蛋白(原)降解产物,73447,73351,0.9986929350415946,0.3,1.0,4.4,10.867499999999128,113,1054,941,0.1541,1.4369
杆菌,96276,94937,0.9860920686360048,0.0,0.0,4004.7599999999948,14520.471999999965,95,950,855,0.1001,1.0007
粘液丝,96276,94937,0.9860920686360048,0.0,0.0,111.63999999999942,268.0639999999985,95,950,855,0.1001,1.0007
结晶,96276,94937,0.9860920686360048,0.0,0.0,2486.199999999997,9282.383999999991,95,950,855,0.1001,1.0007
鳞状上皮细胞,96276,94937,0.9860920686360048,0.0,0.0,150.0,510.19199999999546,95,944,849,0.1001,0.9943
胃蛋白酶原Ⅰ,89644,89041,0.9932733925304538,2.0,17.1,210.0,210.0,84,892,808,0.0943,1.0018
病理管型,96276,94937,0.9860920686360048,0.0,0.0,0.0,1.0,16,820,804,0.0169,0.8637
碳13尿素呼气试验,90259,88935,0.9853311027155187,0.01,0.01,66.66,86.85264000000024,89,889,800,0.1001,0.9996
抗甲状腺球蛋白抗体,87836,87412,0.9951728220775081,10.0,10.0,823.1779999999999,2697.5469999998313,93,880,787,0.1064,1.0067
游离前列腺特异性抗原,42250,42083,0.9960473372781065,0.01,0.06,1.291800000000003,2.788359999999957,43,821,778,0.1022,1.9509
睾酮,89698,86633,0.9658297843876118,0.025,0.025,9.07,11.323680000000023,99,873,774,0.1143,1.0077
嗜碱性粒细胞绝对值,97057,96927,0.9986605808957623,0.0,0.0,0.06,0.1,91,858,767,0.0939,0.8852
白细胞团,96276,94937,0.9860920686360048,0.0,0.0,2.0,42.06399999999849,95,853,758,0.1001,0.8985
胃泌素释放肽前体,41798,41746,0.998755921335949,7.77745,17.8,95.22750000000015,167.36099999999425,84,834,750,0.2012,1.9978
抗甲状腺过氧化物酶抗体,89725,83245,0.92777932571747,5.0,5.0,356.0,549.8535999999964,89,835,746,0.1069,1.0031
脂蛋白相关磷脂酶A2,41503,41468,0.9991566874683758,8.8401,121.867,846.1330000000002,1093.5990000000093,84,830,746,0.2026,2.0015
总前列腺特异性抗原,42255,42109,0.9965447875991007,0.02,0.22,7.31,17.25703999999998,79,822,743,0.1876,1.9521
凝血酶原活动度,41773,41708,0.9984439709860436,41.0,78.0,139.9300000000003,152.0,81,810,729,0.1942,1.9421
高敏肌钙蛋白T,90413,79160,0.8755378098282327,3.0,3.0,21.1,63.23004000000015,85,795,710,0.1074,1.0043
非鳞状上皮细胞,96276,94937,0.9860920686360048,0.0,0.0,8.0,27.063999999998487,95,797,702,0.1001,0.8395
人附睾蛋白4,37750,37695,0.9985430463576159,20.17552,24.5694,91.49059999999997,160.42239999999876,76,754,678,0.2016,2.0003
雌二醇,89697,74845,0.8344203262093493,5.0,5.0,392.75599999999974,731.0882000000092,86,760,674,0.1149,1.0154
总Ⅰ型胶原氨基端延长肽,37690,37537,0.9959405677898647,8.48216,12.8,120.63999999999942,173.0,75,744,669,0.1998,1.982
转铁蛋白饱和度,36930,36886,0.9988085567289466,3.82,8.3,69.18150000000001,86.8114999999998,73,735,662,0.1979,1.9926
精子,96276,94937,0.9860920686360048,0.0,0.0,0.0,99.19199999999546,95,739,644,0.1001,0.7784
γ-谷氨酰基转肽酶,38494,38375,0.996908609133891,7.0,9.0,170.0,384.8779999999897,67,694,627,0.1746,1.8085
胰岛素抵抗指数,32418,32383,0.9989203528903695,0.41381999999999997,0.71,11.541800000000002,24.032259999999187,66,640,574,0.2038,1.9763
补体C4,31932,31890,0.998684704998121,0.069,0.105,0.442,0.56,60,634,574,0.1881,1.9881
肿瘤特异性生长因子,31771,31730,0.9987095149664789,28.52187,37.7,69.67549999999996,73.8,62,634,572,0.1954,1.9981
